fold,bias,score,clean_Macro_F1,missing_Macro_F1,clean_MAE,missing_MAE,clean_Accuracy
5,0.1,0.5572969997849582,0.6270879578168024,0.6063469042657025,0.5869893431663513,0.6014192819595336,0.6368330464716007
5,0.2,0.5571694962780407,0.6296591829868224,0.6033450148095085,0.5848525166511536,0.6017995357513428,0.6368330464716007
5,0.3,0.5541402757926367,0.6249951146056051,0.6019086912788322,0.5846289992332458,0.6016035437583923,0.6282271944922547
5,0.4,0.5484366122487574,0.6181854059110253,0.5974839561578243,0.5868258476257324,0.601135528087616,0.6196213425129088
5,0.5,0.5363612744209645,0.605867704725649,0.5863601482144093,0.5916840434074402,0.6033689975738525,0.6041308089500861
5,0.6,0.5211314015099993,0.5885701200504139,0.5741029977679396,0.5975337028503418,0.6065694451332092,0.5851979345955249
5,0.7,0.511090654371613,0.5828359081047253,0.5595118096541564,0.593009889125824,0.6086542010307312,0.576592082616179
5,0.8,0.5019609371288823,0.5737232847118491,0.550609253627489,0.5943202972412109,0.6097863435745239,0.5662650602409639
5,0.9,0.4885061819656511,0.5606717680765618,0.5373328462972453,0.5969815254211426,0.6129409790039062,0.5524956970740104
5,1.0,0.478947417192966,0.5553749095617952,0.5241403867649022,0.5996803045272827,0.6165243148803711,0.5473321858864028
