模型,subset,rate,position,replicate,Accuracy,Macro_F1,Weighted_F1,MAE,Pearson,T_实际不可用比例,A_实际不可用比例,V_实际不可用比例
distilled,A,0.7,random,1,0.646978021978022,0.6312480554426961,0.6469300057809372,0.5868696570396423,0.6358515839916289,0.0,0.7002678779408339,0.057069648264616815
distilled,V,0.1,random,0,0.6387362637362637,0.6250028248000268,0.6420856806573081,0.5798801183700562,0.643927450525992,0.0,0.002678779408339157,0.15356394129979037
distilled,V,0.1,random,1,0.6387362637362637,0.6247108169167771,0.6419129094210141,0.5802486538887024,0.643863002069655,0.0,0.002678779408339157,0.15362217563475425
distilled,V,0.3,random,0,0.6401098901098901,0.6272555414262783,0.6440809164531229,0.5774697661399841,0.6469675849270089,0.0,0.002678779408339157,0.33979734451432564
distilled,V,0.3,random,1,0.6428571428571429,0.6302963472142536,0.6471922752496577,0.5758739709854126,0.6479931815084128,0.0,0.002678779408339157,0.34014675052410903
distilled,V,0.5,random,0,0.6346153846153846,0.6236408672352264,0.6405631495726545,0.5775126218795776,0.646214704540366,0.0,0.002678779408339157,0.529874213836478
distilled,V,0.5,random,1,0.6346153846153846,0.6227856726709144,0.6401148021885938,0.5771715044975281,0.6461864105681618,0.0,0.002678779408339157,0.5285930584672723
distilled,V,0.7,random,0,0.6277472527472527,0.6174794302691179,0.6343096546495903,0.5786178112030029,0.6431267598344647,0.0,0.002678779408339157,0.7180293501048218
distilled,V,0.7,random,1,0.6304945054945055,0.6205939932102776,0.6367741601869388,0.5779194831848145,0.6429581788069969,0.0,0.002678779408339157,0.7168646634055439
distilled,TA,0.1,random,0,0.6277472527472527,0.6125991946748931,0.6308346392164643,0.586479663848877,0.6298266619966996,0.10214302352667133,0.104530631260191,0.057069648264616815
distilled,TA,0.1,random,1,0.6263736263736264,0.6109583678306786,0.6291243338387049,0.5895757079124451,0.622348214465532,0.10214302352667133,0.104530631260191,0.057069648264616815
distilled,TA,0.3,random,0,0.5975274725274725,0.5780578704741326,0.5989012957266578,0.6245322227478027,0.5781384618665772,0.29984859072909387,0.3017120894479385,0.057069648264616815
distilled,TA,0.3,random,1,0.5975274725274725,0.5783518757311199,0.6003090823029358,0.6260785460472107,0.5638012851172503,0.29984859072909387,0.3017120894479385,0.057069648264616815
distilled,TA,0.5,random,0,0.5782967032967034,0.5618045260060524,0.5809696742584922,0.6458336114883423,0.5312022204934496,0.4997670626601444,0.5010482180293501,0.057069648264616815
